Drug;Type;Reaction
Lynparza;ADVERSE REACTIONS;Dermatitis
Lynparza;ADVERSE REACTIONS;Diarrhoea
Lynparza;ADVERSE REACTIONS;Dizziness
Lynparza;ADVERSE REACTIONS;Dry skin
Lynparza;ADVERSE REACTIONS;Dysgeusia
Lynparza;ADVERSE REACTIONS;Dyspepsia
Lynparza;ADVERSE REACTIONS;Dyspnoea
Lynparza;ADVERSE REACTIONS;Dysuria
Lynparza;ADVERSE REACTIONS;Eczema
Lynparza;ADVERSE REACTIONS;Fatigue
Lynparza;ADVERSE REACTIONS;Haemoglobin decreased
Lynparza;ADVERSE REACTIONS;Headache
Lynparza;ADVERSE REACTIONS;Hot flush
Lynparza;ADVERSE REACTIONS;Hyperglycaemia
Lynparza;ADVERSE REACTIONS;Hypertension
Lynparza;ADVERSE REACTIONS;Hypomagnesaemia
Lynparza;ADVERSE REACTIONS;Insomnia
Lynparza;ADVERSE REACTIONS;Intestinal perforation
Lynparza;ADVERSE REACTIONS;Lethargy
Lynparza;ADVERSE REACTIONS;Leukopenia
Lynparza;ADVERSE REACTIONS;Lymphocyte count decreased
Lynparza;ADVERSE REACTIONS;Lymphopenia
Lynparza;ADVERSE REACTIONS;Mean cell volume increased
Lynparza;ADVERSE REACTIONS;Musculoskeletal pain
Lynparza;ADVERSE REACTIONS;Myalgia
Lynparza;ADVERSE REACTIONS;Myelodysplastic syndrome
Lynparza;ADVERSE REACTIONS;Nasopharyngitis
Lynparza;ADVERSE REACTIONS;Nausea
Lynparza;ADVERSE REACTIONS;Neuropathy peripheral
Lynparza;ADVERSE REACTIONS;Neutropenia
Lynparza;ADVERSE REACTIONS;Neutrophil count decreased
Lynparza;ADVERSE REACTIONS;Oedema peripheral
Lynparza;ADVERSE REACTIONS;Pharyngitis
Lynparza;ADVERSE REACTIONS;Platelet count decreased
Lynparza;ADVERSE REACTIONS;Pneumonitis
Lynparza;ADVERSE REACTIONS;Pruritus
Lynparza;ADVERSE REACTIONS;Pulmonary embolism
Lynparza;ADVERSE REACTIONS;Pyrexia
Lynparza;ADVERSE REACTIONS;Rash
Lynparza;ADVERSE REACTIONS;Sepsis
Lynparza;ADVERSE REACTIONS;Stomatitis
Lynparza;ADVERSE REACTIONS;Suture rupture
Lynparza;ADVERSE REACTIONS;Thrombocytopenia
Lynparza;ADVERSE REACTIONS;Upper respiratory tract infection
Lynparza;ADVERSE REACTIONS;Urinary incontinence
Lynparza;ADVERSE REACTIONS;Urinary tract infection
Lynparza;ADVERSE REACTIONS;Venous thrombosis
Lynparza;ADVERSE REACTIONS;Vomiting
Lynparza;ADVERSE REACTIONS;Vulvovaginal disorder
Lynparza;WARNINGS AND PRECAUTIONS;Acute myeloid leukaemia
Lynparza;WARNINGS AND PRECAUTIONS;Acute myeloid leukaemia
Lynparza;WARNINGS AND PRECAUTIONS;Acute myeloid leukaemia
Lynparza;WARNINGS AND PRECAUTIONS;Death
Lynparza;WARNINGS AND PRECAUTIONS;Foetal damage
Lynparza;WARNINGS AND PRECAUTIONS;Maternal drugs affecting foetus
Lynparza;WARNINGS AND PRECAUTIONS;Myelodysplastic syndrome
Lynparza;WARNINGS AND PRECAUTIONS;Pneumonitis
Lynparza;WARNINGS AND PRECAUTIONS;Teratogenicity
Folotyn;ADVERSE REACTIONS;Abdominal pain
Folotyn;ADVERSE REACTIONS;Alanine aminotransferase increased
Folotyn;ADVERSE REACTIONS;Anaemia
Folotyn;ADVERSE REACTIONS;Aspartate aminotransferase increased
Folotyn;ADVERSE REACTIONS;Asthenia
Folotyn;ADVERSE REACTIONS;Back pain
Folotyn;ADVERSE REACTIONS;Bone marrow failure
Folotyn;ADVERSE REACTIONS;Cardio-respiratory arrest
Folotyn;ADVERSE REACTIONS;Constipation
Folotyn;ADVERSE REACTIONS;Cough
Folotyn;ADVERSE REACTIONS;Death
Folotyn;ADVERSE REACTIONS;Decreased appetite
Folotyn;ADVERSE REACTIONS;Dehydration
Folotyn;ADVERSE REACTIONS;Diarrhoea
Folotyn;ADVERSE REACTIONS;Dyspnoea
Folotyn;ADVERSE REACTIONS;Epistaxis
Folotyn;ADVERSE REACTIONS;Fatigue
Folotyn;ADVERSE REACTIONS;Febrile neutropenia
Folotyn;ADVERSE REACTIONS;Gastrointestinal inflammation
Folotyn;ADVERSE REACTIONS;Genital tract inflammation
Folotyn;ADVERSE REACTIONS;Hepatotoxicity
Folotyn;ADVERSE REACTIONS;Hypokalaemia
Folotyn;ADVERSE REACTIONS;Laryngeal pain
Folotyn;ADVERSE REACTIONS;Leukopenia
Folotyn;ADVERSE REACTIONS;Liver function test abnormal
Folotyn;ADVERSE REACTIONS;Mucosal inflammation
Folotyn;ADVERSE REACTIONS;Mucosal inflammation
Folotyn;ADVERSE REACTIONS;Nausea
Folotyn;ADVERSE REACTIONS;Neutropenia
Folotyn;ADVERSE REACTIONS;Night sweats
Folotyn;ADVERSE REACTIONS;Oedema
Folotyn;ADVERSE REACTIONS;Pain in extremity
Folotyn;ADVERSE REACTIONS;Pancytopenia
Folotyn;ADVERSE REACTIONS;Platelet count decreased
Folotyn;ADVERSE REACTIONS;Pruritus
Folotyn;ADVERSE REACTIONS;Pyrexia
Folotyn;ADVERSE REACTIONS;Rash
Folotyn;ADVERSE REACTIONS;Sepsis
Folotyn;ADVERSE REACTIONS;Skin reaction
Folotyn;ADVERSE REACTIONS;Stomatitis
Folotyn;ADVERSE REACTIONS;Tachycardia
Folotyn;ADVERSE REACTIONS;Thrombocytopenia
Folotyn;ADVERSE REACTIONS;Toxic epidermal necrolysis
Folotyn;ADVERSE REACTIONS;Transaminases increased
Folotyn;ADVERSE REACTIONS;Tumour lysis syndrome
Folotyn;ADVERSE REACTIONS;Upper respiratory tract infection
Folotyn;ADVERSE REACTIONS;Urinary tract inflammation
Folotyn;ADVERSE REACTIONS;Vomiting
Folotyn;WARNINGS AND PRECAUTIONS;Anaemia
Folotyn;WARNINGS AND PRECAUTIONS;Bone marrow failure
Folotyn;WARNINGS AND PRECAUTIONS;Death
Folotyn;WARNINGS AND PRECAUTIONS;Drug level increased
Folotyn;WARNINGS AND PRECAUTIONS;Foetal damage
Folotyn;WARNINGS AND PRECAUTIONS;Hepatotoxicity
Folotyn;WARNINGS AND PRECAUTIONS;Liver function test abnormal
Folotyn;WARNINGS AND PRECAUTIONS;Maternal drugs affecting foetus
Folotyn;WARNINGS AND PRECAUTIONS;Mucosal inflammation
Folotyn;WARNINGS AND PRECAUTIONS;Neutropenia
Folotyn;WARNINGS AND PRECAUTIONS;Skin exfoliation
Folotyn;WARNINGS AND PRECAUTIONS;Skin reaction
Folotyn;WARNINGS AND PRECAUTIONS;Skin ulcer
Folotyn;WARNINGS AND PRECAUTIONS;Thrombocytopenia
Folotyn;WARNINGS AND PRECAUTIONS;Toxic epidermal necrolysis
Folotyn;WARNINGS AND PRECAUTIONS;Toxic epidermal necrolysis
Folotyn;WARNINGS AND PRECAUTIONS;Toxicity to various agents
Folotyn;WARNINGS AND PRECAUTIONS;Tumour lysis syndrome
Tanzeum;BOXED WARNINGS;Medullary thyroid cancer
Tanzeum;BOXED WARNINGS;Thyroid C-cell hyperplasia
Tanzeum;BOXED WARNINGS;Thyroid cancer stage 0
Tanzeum;BOXED WARNINGS;Thyroid neoplasm
Tanzeum;ADVERSE REACTIONS;Abdominal discomfort
Tanzeum;ADVERSE REACTIONS;Alanine aminotransferase increased
Tanzeum;ADVERSE REACTIONS;Alanine aminotransferase increased
Tanzeum;ADVERSE REACTIONS;Appendicitis
Tanzeum;ADVERSE REACTIONS;Arthralgia
Tanzeum;ADVERSE REACTIONS;Atrial fibrillation
Tanzeum;ADVERSE REACTIONS;Atrial flutter
Tanzeum;ADVERSE REACTIONS;Back pain
Tanzeum;ADVERSE REACTIONS;Blood bilirubin increased
Tanzeum;ADVERSE REACTIONS;Blood glucose decreased
Tanzeum;ADVERSE REACTIONS;Constipation
Tanzeum;ADVERSE REACTIONS;Cough
Tanzeum;ADVERSE REACTIONS;Diarrhoea
Tanzeum;ADVERSE REACTIONS;Dyspepsia
Tanzeum;ADVERSE REACTIONS;Gamma-glutamyltransferase increased
Tanzeum;ADVERSE REACTIONS;Gastrointestinal disorder
Tanzeum;ADVERSE REACTIONS;Gastrointestinal disorder
Tanzeum;ADVERSE REACTIONS;Gastrooesophageal reflux disease
Tanzeum;ADVERSE REACTIONS;Heart rate increased
Tanzeum;ADVERSE REACTIONS;Hepatocellular injury
Tanzeum;ADVERSE REACTIONS;Hypersensitivity
Tanzeum;ADVERSE REACTIONS;Hypoglycaemia
Tanzeum;ADVERSE REACTIONS;Hypoglycaemia
Tanzeum;ADVERSE REACTIONS;Hypoglycaemia
Tanzeum;ADVERSE REACTIONS;Influenza
Tanzeum;ADVERSE REACTIONS;Injection site erythema
Tanzeum;ADVERSE REACTIONS;Injection site haematoma
Tanzeum;ADVERSE REACTIONS;Injection site haemorrhage
Tanzeum;ADVERSE REACTIONS;Injection site hypersensitivity
Tanzeum;ADVERSE REACTIONS;Injection site pruritus
Tanzeum;ADVERSE REACTIONS;Injection site rash
Tanzeum;ADVERSE REACTIONS;Injection site reaction
Tanzeum;ADVERSE REACTIONS;Nausea
Tanzeum;ADVERSE REACTIONS;Pancreatitis acute
Tanzeum;ADVERSE REACTIONS;Pneumonia
Tanzeum;ADVERSE REACTIONS;Renal impairment
Tanzeum;ADVERSE REACTIONS;Sinusitis
Tanzeum;ADVERSE REACTIONS;Thyroid C-cell hyperplasia
Tanzeum;ADVERSE REACTIONS;Thyroid neoplasm
Tanzeum;ADVERSE REACTIONS;Upper respiratory tract infection
Tanzeum;ADVERSE REACTIONS;Vomiting
Tanzeum;WARNINGS AND PRECAUTIONS;Acute kidney injury
Tanzeum;WARNINGS AND PRECAUTIONS;Chronic kidney disease
Tanzeum;WARNINGS AND PRECAUTIONS;Dehydration
Tanzeum;WARNINGS AND PRECAUTIONS;Diarrhoea
Tanzeum;WARNINGS AND PRECAUTIONS;Dyspnoea
Tanzeum;WARNINGS AND PRECAUTIONS;Gastrointestinal disorder
Tanzeum;WARNINGS AND PRECAUTIONS;Hypersensitivity
Tanzeum;WARNINGS AND PRECAUTIONS;Hypoglycaemia
Tanzeum;WARNINGS AND PRECAUTIONS;Medullary thyroid cancer
Tanzeum;WARNINGS AND PRECAUTIONS;Nausea
Tanzeum;WARNINGS AND PRECAUTIONS;Pancreatitis acute
Tanzeum;WARNINGS AND PRECAUTIONS;Pancreatitis
Tanzeum;WARNINGS AND PRECAUTIONS;Pruritus
Tanzeum;WARNINGS AND PRECAUTIONS;Rash
Tanzeum;WARNINGS AND PRECAUTIONS;Renal impairment
Tanzeum;WARNINGS AND PRECAUTIONS;Renal impairment
Tanzeum;WARNINGS AND PRECAUTIONS;Thyroid C-cell hyperplasia
Tanzeum;WARNINGS AND PRECAUTIONS;Thyroid adenoma
Tanzeum;WARNINGS AND PRECAUTIONS;Thyroid cancer stage 0
Tanzeum;WARNINGS AND PRECAUTIONS;Thyroid cancer
Tanzeum;WARNINGS AND PRECAUTIONS;Thyroid neoplasm
Tanzeum;WARNINGS AND PRECAUTIONS;Vomiting
PROMACTA;BOXED WARNINGS;Hepatic failure
PROMACTA;ADVERSE REACTIONS;Abdominal pain
PROMACTA;ADVERSE REACTIONS;Acute kidney injury
PROMACTA;ADVERSE REACTIONS;Alanine aminotransferase increased
PROMACTA;ADVERSE REACTIONS;Alopecia
PROMACTA;ADVERSE REACTIONS;Anaemia
PROMACTA;ADVERSE REACTIONS;Arthralgia
PROMACTA;ADVERSE REACTIONS;Aspartate aminotransferase increased
PROMACTA;ADVERSE REACTIONS;Asthenia
PROMACTA;ADVERSE REACTIONS;Back pain
PROMACTA;ADVERSE REACTIONS;Blood alkaline phosphatase increased
PROMACTA;ADVERSE REACTIONS;Blood bilirubin increased
PROMACTA;ADVERSE REACTIONS;Cataract
PROMACTA;ADVERSE REACTIONS;Cataract
PROMACTA;ADVERSE REACTIONS;Chills
PROMACTA;ADVERSE REACTIONS;Chromosome analysis abnormal
PROMACTA;ADVERSE REACTIONS;Cough
PROMACTA;ADVERSE REACTIONS;Cytogenetic abnormality
PROMACTA;ADVERSE REACTIONS;Decreased appetite
PROMACTA;ADVERSE REACTIONS;Diarrhoea
PROMACTA;ADVERSE REACTIONS;Dizziness
PROMACTA;ADVERSE REACTIONS;Dry mouth
PROMACTA;ADVERSE REACTIONS;Dyspnoea
PROMACTA;ADVERSE REACTIONS;Ecchymosis
PROMACTA;ADVERSE REACTIONS;Embolism
PROMACTA;ADVERSE REACTIONS;Fatigue
PROMACTA;ADVERSE REACTIONS;Febrile neutropenia
PROMACTA;ADVERSE REACTIONS;Haemorrhage
PROMACTA;ADVERSE REACTIONS;Headache
PROMACTA;ADVERSE REACTIONS;Hepatic failure
PROMACTA;ADVERSE REACTIONS;Hepatotoxicity
PROMACTA;ADVERSE REACTIONS;Hyperbilirubinaemia
PROMACTA;ADVERSE REACTIONS;Influenza like illness
PROMACTA;ADVERSE REACTIONS;Influenza
PROMACTA;ADVERSE REACTIONS;Insomnia
PROMACTA;ADVERSE REACTIONS;Liver function test abnormal
PROMACTA;ADVERSE REACTIONS;Liver function test abnormal
PROMACTA;ADVERSE REACTIONS;Muscle spasms
PROMACTA;ADVERSE REACTIONS;Musculoskeletal pain
PROMACTA;ADVERSE REACTIONS;Myalgia
PROMACTA;ADVERSE REACTIONS;Nasopharyngitis
PROMACTA;ADVERSE REACTIONS;Nausea
PROMACTA;ADVERSE REACTIONS;Oedema peripheral
PROMACTA;ADVERSE REACTIONS;Oropharyngeal pain
PROMACTA;ADVERSE REACTIONS;Pain in extremity
PROMACTA;ADVERSE REACTIONS;Paraesthesia
PROMACTA;ADVERSE REACTIONS;Pharyngitis
PROMACTA;ADVERSE REACTIONS;Portal vein thrombosis
PROMACTA;ADVERSE REACTIONS;Pruritus
PROMACTA;ADVERSE REACTIONS;Pyrexia
PROMACTA;ADVERSE REACTIONS;Rash
PROMACTA;ADVERSE REACTIONS;Rhinitis
PROMACTA;ADVERSE REACTIONS;Rhinorrhoea
PROMACTA;ADVERSE REACTIONS;Thrombosis
PROMACTA;ADVERSE REACTIONS;Thrombotic microangiopathy
PROMACTA;ADVERSE REACTIONS;Toothache
PROMACTA;ADVERSE REACTIONS;Transaminases increased
PROMACTA;ADVERSE REACTIONS;Upper respiratory tract infection
PROMACTA;ADVERSE REACTIONS;Urinary tract infection
PROMACTA;ADVERSE REACTIONS;Vitamin D deficiency
PROMACTA;ADVERSE REACTIONS;Vomiting
PROMACTA;WARNINGS AND PRECAUTIONS;Abdominal pain
PROMACTA;WARNINGS AND PRECAUTIONS;Arterial thrombosis
PROMACTA;WARNINGS AND PRECAUTIONS;Ascites
PROMACTA;WARNINGS AND PRECAUTIONS;Cataract
PROMACTA;WARNINGS AND PRECAUTIONS;Diarrhoea
PROMACTA;WARNINGS AND PRECAUTIONS;Embolism venous
PROMACTA;WARNINGS AND PRECAUTIONS;Embolism
PROMACTA;WARNINGS AND PRECAUTIONS;Encephalopathy
PROMACTA;WARNINGS AND PRECAUTIONS;Hepatic enzyme increased
PROMACTA;WARNINGS AND PRECAUTIONS;Hepatic failure
PROMACTA;WARNINGS AND PRECAUTIONS;Hepatic vein thrombosis
PROMACTA;WARNINGS AND PRECAUTIONS;Hepatotoxicity
PROMACTA;WARNINGS AND PRECAUTIONS;Hyperbilirubinaemia
PROMACTA;WARNINGS AND PRECAUTIONS;Nausea
PROMACTA;WARNINGS AND PRECAUTIONS;Platelet count increased
PROMACTA;WARNINGS AND PRECAUTIONS;Portal vein thrombosis
PROMACTA;WARNINGS AND PRECAUTIONS;Thrombosis
PROMACTA;WARNINGS AND PRECAUTIONS;Venous thrombosis
PROMACTA;WARNINGS AND PRECAUTIONS;Vomiting
EOVIST;BOXED WARNINGS;Death
EOVIST;BOXED WARNINGS;Fibrosis
EOVIST;BOXED WARNINGS;Nephrogenic systemic fibrosis
EOVIST;ADVERSE REACTIONS;Abdominal pain
EOVIST;ADVERSE REACTIONS;Akathisia
EOVIST;ADVERSE REACTIONS;Anaphylactic shock
EOVIST;ADVERSE REACTIONS;Back pain
EOVIST;ADVERSE REACTIONS;Blood bilirubin increased
EOVIST;ADVERSE REACTIONS;Blood iron increased
EOVIST;ADVERSE REACTIONS;Blood pressure increased
EOVIST;ADVERSE REACTIONS;Bundle branch block
EOVIST;ADVERSE REACTIONS;Chest pain
EOVIST;ADVERSE REACTIONS;Chills
EOVIST;ADVERSE REACTIONS;Conjunctivitis
EOVIST;ADVERSE REACTIONS;Cough
EOVIST;ADVERSE REACTIONS;Discomfort
EOVIST;ADVERSE REACTIONS;Dizziness
EOVIST;ADVERSE REACTIONS;Dry mouth
EOVIST;ADVERSE REACTIONS;Dysgeusia
EOVIST;ADVERSE REACTIONS;Dyspnoea
EOVIST;ADVERSE REACTIONS;Eye pruritus
EOVIST;ADVERSE REACTIONS;Face oedema
EOVIST;ADVERSE REACTIONS;Fatigue
EOVIST;ADVERSE REACTIONS;Feeling abnormal
EOVIST;ADVERSE REACTIONS;Feeling hot
EOVIST;ADVERSE REACTIONS;Flushing
EOVIST;ADVERSE REACTIONS;Headache
EOVIST;ADVERSE REACTIONS;Hyperhidrosis
EOVIST;ADVERSE REACTIONS;Hypersensitivity
EOVIST;ADVERSE REACTIONS;Hypoaesthesia
EOVIST;ADVERSE REACTIONS;Hypotension
EOVIST;ADVERSE REACTIONS;Injection site coldness
EOVIST;ADVERSE REACTIONS;Injection site extravasation
EOVIST;ADVERSE REACTIONS;Injection site irritation
EOVIST;ADVERSE REACTIONS;Injection site pain
EOVIST;ADVERSE REACTIONS;Injection site pain
EOVIST;ADVERSE REACTIONS;Injection site reaction
EOVIST;ADVERSE REACTIONS;Laryngeal oedema
EOVIST;ADVERSE REACTIONS;Malaise
EOVIST;ADVERSE REACTIONS;Nausea
EOVIST;ADVERSE REACTIONS;Nephrogenic systemic fibrosis
EOVIST;ADVERSE REACTIONS;Oral discomfort
EOVIST;ADVERSE REACTIONS;Pallor
EOVIST;ADVERSE REACTIONS;Palpitations
EOVIST;ADVERSE REACTIONS;Paraesthesia
EOVIST;ADVERSE REACTIONS;Parosmia
EOVIST;ADVERSE REACTIONS;Pharyngeal oedema
EOVIST;ADVERSE REACTIONS;Pruritus generalised
EOVIST;ADVERSE REACTIONS;Rash maculo-papular
EOVIST;ADVERSE REACTIONS;Rash
EOVIST;ADVERSE REACTIONS;Respiratory disorder
EOVIST;ADVERSE REACTIONS;Respiratory distress
EOVIST;ADVERSE REACTIONS;Restlessness
EOVIST;ADVERSE REACTIONS;Rhinitis
EOVIST;ADVERSE REACTIONS;Salivary hypersecretion
EOVIST;ADVERSE REACTIONS;Sneezing
EOVIST;ADVERSE REACTIONS;Tachycardia
EOVIST;ADVERSE REACTIONS;Tremor
EOVIST;ADVERSE REACTIONS;Urticaria
EOVIST;ADVERSE REACTIONS;Vertigo
EOVIST;ADVERSE REACTIONS;Vomiting
EOVIST;WARNINGS AND PRECAUTIONS;Acute kidney injury
EOVIST;WARNINGS AND PRECAUTIONS;Anaphylactic reaction
EOVIST;WARNINGS AND PRECAUTIONS;Anaphylactoid reaction
EOVIST;WARNINGS AND PRECAUTIONS;Cardiovascular symptom
EOVIST;WARNINGS AND PRECAUTIONS;Cutaneous symptom
EOVIST;WARNINGS AND PRECAUTIONS;Death
EOVIST;WARNINGS AND PRECAUTIONS;Fibrosis
EOVIST;WARNINGS AND PRECAUTIONS;Hypersensitivity
EOVIST;WARNINGS AND PRECAUTIONS;Injection site reaction
EOVIST;WARNINGS AND PRECAUTIONS;Local reaction
EOVIST;WARNINGS AND PRECAUTIONS;Nephrogenic systemic fibrosis
EOVIST;WARNINGS AND PRECAUTIONS;Respiratory symptom
EOVIST;WARNINGS AND PRECAUTIONS;Shock
EOVIST;WARNINGS AND PRECAUTIONS;Type IV hypersensitivity reaction
Tivicay;ADVERSE REACTIONS;Abdominal discomfort
Tivicay;ADVERSE REACTIONS;Abdominal pain upper
Tivicay;ADVERSE REACTIONS;Abdominal pain
Tivicay;ADVERSE REACTIONS;Abnormal dreams
Tivicay;ADVERSE REACTIONS;Alanine aminotransferase abnormal
Tivicay;ADVERSE REACTIONS;Alanine aminotransferase increased
Tivicay;ADVERSE REACTIONS;Aspartate aminotransferase abnormal
Tivicay;ADVERSE REACTIONS;Blood bilirubin increased
Tivicay;ADVERSE REACTIONS;Blood cholesterol increased
Tivicay;ADVERSE REACTIONS;Blood creatine phosphokinase increased
Tivicay;ADVERSE REACTIONS;Blood creatinine increased
Tivicay;ADVERSE REACTIONS;Blood creatinine increased
Tivicay;ADVERSE REACTIONS;Completed suicide
Tivicay;ADVERSE REACTIONS;Depression
Tivicay;ADVERSE REACTIONS;Diarrhoea
Tivicay;ADVERSE REACTIONS;Dizziness
Tivicay;ADVERSE REACTIONS;Drug eruption
Tivicay;ADVERSE REACTIONS;Fat redistribution
Tivicay;ADVERSE REACTIONS;Fatigue
Tivicay;ADVERSE REACTIONS;Flatulence
Tivicay;ADVERSE REACTIONS;Headache
Tivicay;ADVERSE REACTIONS;Hepatic enzyme increased
Tivicay;ADVERSE REACTIONS;Hepatitis
Tivicay;ADVERSE REACTIONS;Hyperglycaemia
Tivicay;ADVERSE REACTIONS;Hypersensitivity
Tivicay;ADVERSE REACTIONS;Immune reconstitution inflammatory syndrome
Tivicay;ADVERSE REACTIONS;Insomnia
Tivicay;ADVERSE REACTIONS;Lipase increased
Tivicay;ADVERSE REACTIONS;Myositis
Tivicay;ADVERSE REACTIONS;Nausea
Tivicay;ADVERSE REACTIONS;Neutropenia
Tivicay;ADVERSE REACTIONS;Pruritus
Tivicay;ADVERSE REACTIONS;Rash generalised
Tivicay;ADVERSE REACTIONS;Rash macular
Tivicay;ADVERSE REACTIONS;Rash maculo-papular
Tivicay;ADVERSE REACTIONS;Rash pruritic
Tivicay;ADVERSE REACTIONS;Rash
Tivicay;ADVERSE REACTIONS;Renal impairment
Tivicay;ADVERSE REACTIONS;Suicidal behaviour
Tivicay;ADVERSE REACTIONS;Suicidal ideation
Tivicay;ADVERSE REACTIONS;Suicide attempt
Tivicay;ADVERSE REACTIONS;Vertigo
Tivicay;ADVERSE REACTIONS;Vomiting
Tivicay;WARNINGS AND PRECAUTIONS;Autoimmune disorder
Tivicay;WARNINGS AND PRECAUTIONS;Basedow's disease
Tivicay;WARNINGS AND PRECAUTIONS;Body fat disorder
Tivicay;WARNINGS AND PRECAUTIONS;Breast enlargement
Tivicay;WARNINGS AND PRECAUTIONS;Central obesity
Tivicay;WARNINGS AND PRECAUTIONS;Cushingoid
Tivicay;WARNINGS AND PRECAUTIONS;Cytomegalovirus infection
Tivicay;WARNINGS AND PRECAUTIONS;Facial wasting
Tivicay;WARNINGS AND PRECAUTIONS;Fat redistribution
Tivicay;WARNINGS AND PRECAUTIONS;Guillain-Barre syndrome
Tivicay;WARNINGS AND PRECAUTIONS;Hepatitis B
Tivicay;WARNINGS AND PRECAUTIONS;Hypersensitivity
Tivicay;WARNINGS AND PRECAUTIONS;Hypersensitivity
Tivicay;WARNINGS AND PRECAUTIONS;Immune reconstitution inflammatory syndrome
Tivicay;WARNINGS AND PRECAUTIONS;Inflammation
Tivicay;WARNINGS AND PRECAUTIONS;Lipoatrophy
Tivicay;WARNINGS AND PRECAUTIONS;Lipohypertrophy
Tivicay;WARNINGS AND PRECAUTIONS;Liver injury
Tivicay;WARNINGS AND PRECAUTIONS;Mycobacterium avium complex infection
Tivicay;WARNINGS AND PRECAUTIONS;Opportunistic infection
Tivicay;WARNINGS AND PRECAUTIONS;Organ failure
Tivicay;WARNINGS AND PRECAUTIONS;Pneumocystis jirovecii pneumonia
Tivicay;WARNINGS AND PRECAUTIONS;Polymyositis
Tivicay;WARNINGS AND PRECAUTIONS;Rash
Tivicay;WARNINGS AND PRECAUTIONS;Transaminases increased
Tivicay;WARNINGS AND PRECAUTIONS;Tuberculosis
PREPOPIK;ADVERSE REACTIONS;Abdominal distension
PREPOPIK;ADVERSE REACTIONS;Abdominal distension
PREPOPIK;ADVERSE REACTIONS;Abdominal pain
PREPOPIK;ADVERSE REACTIONS;Abdominal pain
PREPOPIK;ADVERSE REACTIONS;Aphthous ulcer
PREPOPIK;ADVERSE REACTIONS;Blood calcium decreased
PREPOPIK;ADVERSE REACTIONS;Blood chloride decreased
PREPOPIK;ADVERSE REACTIONS;Blood creatinine increased
PREPOPIK;ADVERSE REACTIONS;Blood magnesium increased
PREPOPIK;ADVERSE REACTIONS;Blood potassium decreased
PREPOPIK;ADVERSE REACTIONS;Blood sodium decreased
PREPOPIK;ADVERSE REACTIONS;Colitis ischaemic
PREPOPIK;ADVERSE REACTIONS;Diarrhoea
PREPOPIK;ADVERSE REACTIONS;Diarrhoea
PREPOPIK;ADVERSE REACTIONS;Electrolyte imbalance
PREPOPIK;ADVERSE REACTIONS;Faecal incontinence
PREPOPIK;ADVERSE REACTIONS;Generalised tonic-clonic seizure
PREPOPIK;ADVERSE REACTIONS;Glomerular filtration rate decreased
PREPOPIK;ADVERSE REACTIONS;Headache
PREPOPIK;ADVERSE REACTIONS;Hypermagnesaemia
PREPOPIK;ADVERSE REACTIONS;Hypersensitivity
PREPOPIK;ADVERSE REACTIONS;Hypokalaemia
PREPOPIK;ADVERSE REACTIONS;Hyponatraemia
PREPOPIK;ADVERSE REACTIONS;Ileal ulcer
PREPOPIK;ADVERSE REACTIONS;Nausea
PREPOPIK;ADVERSE REACTIONS;Proctalgia
PREPOPIK;ADVERSE REACTIONS;Purpura
PREPOPIK;ADVERSE REACTIONS;Rash
PREPOPIK;ADVERSE REACTIONS;Urticaria
PREPOPIK;ADVERSE REACTIONS;Vomiting
PREPOPIK;WARNINGS AND PRECAUTIONS;Aphthous ulcer
PREPOPIK;WARNINGS AND PRECAUTIONS;Arrhythmia
PREPOPIK;WARNINGS AND PRECAUTIONS;Blood magnesium increased
PREPOPIK;WARNINGS AND PRECAUTIONS;Blood osmolarity decreased
PREPOPIK;WARNINGS AND PRECAUTIONS;Blood pressure fluctuation
PREPOPIK;WARNINGS AND PRECAUTIONS;Colitis ischaemic
PREPOPIK;WARNINGS AND PRECAUTIONS;Dehydration
PREPOPIK;WARNINGS AND PRECAUTIONS;Electrolyte imbalance
PREPOPIK;WARNINGS AND PRECAUTIONS;Electrolyte imbalance
PREPOPIK;WARNINGS AND PRECAUTIONS;Fluid imbalance
PREPOPIK;WARNINGS AND PRECAUTIONS;Generalised tonic-clonic seizure
PREPOPIK;WARNINGS AND PRECAUTIONS;Heart rate abnormal
PREPOPIK;WARNINGS AND PRECAUTIONS;Hypocalcaemia
PREPOPIK;WARNINGS AND PRECAUTIONS;Hypokalaemia
PREPOPIK;WARNINGS AND PRECAUTIONS;Hypomagnesaemia
PREPOPIK;WARNINGS AND PRECAUTIONS;Hyponatraemia
PREPOPIK;WARNINGS AND PRECAUTIONS;Large intestinal ulcer
PREPOPIK;WARNINGS AND PRECAUTIONS;Mucosal ulceration
PREPOPIK;WARNINGS AND PRECAUTIONS;Nausea
PREPOPIK;WARNINGS AND PRECAUTIONS;Nervous system disorder
PREPOPIK;WARNINGS AND PRECAUTIONS;Orthostatic intolerance
PREPOPIK;WARNINGS AND PRECAUTIONS;Renal impairment
PREPOPIK;WARNINGS AND PRECAUTIONS;Renal injury
PREPOPIK;WARNINGS AND PRECAUTIONS;Seizure
PREPOPIK;WARNINGS AND PRECAUTIONS;Seizure
PREPOPIK;WARNINGS AND PRECAUTIONS;Vomiting
Tecfidera;ADVERSE REACTIONS;Abdominal pain
Tecfidera;ADVERSE REACTIONS;Alanine aminotransferase increased
Tecfidera;ADVERSE REACTIONS;Albumin urine present
